word,n_morph
абажур,1
абажуродержатель,5
абаз,1
абазин,1
абазинец,2
абазинка,2
абазинский,2
абак,1
абака,1
аббат,1
аббатиса,2
аббатский,2
аббатство,2
аббревиатура,3
аббревиация,2
абвер,2
абдикация,2
абдомен,1
абдоминальный,2
абзац,1
абзацный,2
абиетин,1
абиетиновый,2
абиогенез,4
абиогенный,4
абиссальный,1
абиссинец,2
абиссинка,2
абиссинский,2
абитуриент,2
абитуриентский,3
аблактирование,4
аблактированный,4
аблактировать,3
аблактироваться,4
аблактировка,4
аблатив,1
аблаут,1
аблятив,1
абляут,1
абляционный,2
абляция,1
аболиционизм,3
аболиционист,3
аболиционистский,4
аболиция,1
абонемент,2
абонементный,3
абонент,2
абонентка,3
абонентный,3
абонентский,3
абонирование,4
абонированный,4
абонировать,3
абонироваться,4
абордаж,2
абордированный,4
абордировать,3
абордироваться,4
абориген,1
аборигенный,2
аборт,1
абортарий,2
абортивный,2
абортированный,4
абортировать,3
абортироваться,4
абразив,1
абразивный,2
абразионный,2
абразия,1
абракадабра,1
абреже,0
абрек,1
абрикос,1
абрикосный,2
абрикосовый,2
абрикотин,2
абрис,1
абруццкий,2
абсент,1
абсентеизм,3
абсентеист,3
абсолют,1
абсолютивный,2
абсолютизация,3
абсолютизирование,5
абсолютизировать,4
абсолютизироваться,5
абсолютизм,2
абсолютист,2
абсолютистский,3
абсолютно,2
абсолютно,2
абсолютный,2
абсорбент,3
абсорбер,3
абсорбированный,5
абсорбировать,4
абсорбироваться,5
абсорбциометр,5
абсорбционный,4
абсорбция,3
абстрагирование,4
абстрагированный,4
абстрагировать,4
абстрагироваться,4
абстрактный,2
абстракционизм,4
абстракционист,4
абстракционистский,5
абстракция,2
абсурдный,2
абсцесс,1
абсцисса,1
абхаз,1
абхазец,2
абхазка,2
абхазский,2
абцуг,1
абшид,1
абштрих,1
аваль,1
авангард,2
авангардизм,3
авангардист,3
авангардистский,4
авангардный,3
аванзал,2
аванкамера,2
аванложа,2
аванпорт,2
аванпост,2
аванпостный,3
аванрейд,2
аванс,1
авансирование,4
авансированный,4
авансировать,3
авансироваться,4
авансовый,2
авансодатель,4
авансодержатель,5
авансом,1
авансцена,2
авантаж,1
авантажный,2
авантитул,2
авантюра,1
авантюризм,2
авантюрист,2
авантюристический,3
авантюристка,3
авантюристский,3
авантюрный,2
авар,1
аварец,2
аварийно,2
аварийный,2
аварийщик,2
авария,1
аварка,2
аварский,2
авгур,1
август,1
августейший,2
августинец,3
августовский,3
авдотка,2
авеню,0
авестийский,3
авестский,2
авиабаза,2
авиабензин,2
авиабилет,2
авиабомба,2
авиагоризонт,2
авиадвигателестроительный,7
авиадвигатель,4
авиадесант,2
авиадесантный,3
авиадиспетчер,2
авиазавод,2
авиакатастрофа,2
авиакомпания,2
авиаконверт,2
авиаконструктор,4
авиалайнер,2
авиалесоохрана,5
авиалиния,2
авиамаяк,2
авиаметеослужба,5
авиаметеостанция,4
авиамоделизм,3
авиамоделист,3
авиамодель,2
авиамодельный,3
авиамотор,2
авиамоторостроение,5
авианавигационный,4
авианосец,3
авианосный,3
авиаопрыскивание,5
авиаотряд,2
авиапарк,2
авиапассажир,2
авиапатруль,2
авиаподкормка,4
авиапочта,2
авиаприбор,2
авиапромышленность,4
авиаразведка,4
авиаракетный,3
авиаракетостроение,5
авиаракетостроительный,6
авиасвязь,3
авиасекстант,2
авиаспорт,2
авиастроение,3
авиастроительный,4
авиастроительство,5
авиатехник,3
авиатика,3
авиатор,2
авиаторский,3
авиатранспорт,2
авиатрасса,2
авиахимический,3
авиационнокосмический,6
авиационноракетный,6
авиационноспортивный,6
авиационнотехнический,7
авиационнохимический,6
авиационный,3
авиация,2
авиачасть,2
авиашкола,2
авизировать,3
авизный,2
авизо,0
авитаминоз,3
авифауна,2
авокадо,0
авось,0
авось-либо,1
авоська,2
аврал,1
авралить,2
авральный,2
аврора,1
австралиец,2
австралийка,2
австралийский,2
австралоидный,3
австралопитек,3
австриец,2
австрийка,1
австрийский,2
австрияк,2
австриячка,3
австро-венгерский,4
австро-германский,4
австро-итало-французский,7
австро-итальянский,5
австро-советский,4
австроазиатский,5
автаркический,2
автаркия,1
авто,0
автоаннотирование,5
автобаза,2
автобиографический,4
автобиографичный,4
автобиография,3
автоблокировка,5
автоблокировочный,6
автобронетанковый,5
автобус,1
автобусно-таксомоторный,7
автобусный,3
автовесы,2
автовладелец,5
автоводитель,4
автовокзал,2
автогамия,3
автоген,2
автогенез,3
автогенератор,3
автогенно-сварочный,8
автогенный,3
автогенщик,3
автогидроподъемник,5
автогравюра,2
автограф,2
автографический,3
автографичный,3
автография,3
автогрейдер,2
автогрузовой,3
автогужевой,3
автодело,2
автодиспетчер,2
автодоение,3
автодоилка,5
автодорога,2
автодорожный,3
автодрезина,2
автодром,2
автозавод,2
автозаводец,3
автозаводский,3
автозаводской,3
автозаправка,3
автозаправочный,4
автозаправщик,3
автоинспектор,3
автоинспекция,3
автокар,2
автокара,2
автокатализ,2
автокатастрофа,2
автокинопередвижка,5
автоклуб,2
автоколебания,4
автоколебательный,4
автоколонна,2
автокомбинат,2
автокомментарий,3
автокормушка,3
автокоррекция,3
автокосметика,2
автокран,2
автократ,2
автократический,3
автократия,3
автокружок,2
автол,2
автолавка,2
автолесовоз,4
автолиз,2
автолитография,5
автолюбитель,4
автомагистраль,2
автомассажер,4
автомат,1
автомат-пакетировщик,5
автомат-упаковщик,5
автоматизация,3
автоматизирование,5
автоматизированный,5
автоматизировать,4
автоматизироваться,5
автоматизм,2
автоматика,2
автоматический,2
автоматичный,2
автоматно-пулеметный,7
автоматный,2
автоматчик,2
автоматчица,2
автомашина,2
автомашинист,3
автометаморфизм,4
автомеханик,3
автомеханический,4
автомобилевоз,4
автомобилеопрокидыватель,8
автомобилеразгрузчик,6
автомобилестроение,5
автомобилестроительный,6
автомобилетракторостроение,7
автомобилизация,4
автомобилизм,3
автомобилист,3
автомобилистка,4
автомобиль,2
автомобиль-вышка,4
автомобильно-дорожный,6
автомобильно-железнодорожный,9
автомобильно-тракторный,6
автомобильный,3
автомоделизм,3
автомодельный,3
автоморфизм,3
автомотоклуб,3
автомотолотерея,3
автомотолюбитель,5
автомоторный,3
автомотосекция,3
автомотоспортивный,4
автомототранспорт,3
автомототуризм,4
автомотошкола,3
автомотриса,2
автономизация,3
автономист,2
автономистский,3
автономический,2
автономия,1
автономный,2
автооператор,3
автопавильон,2
автопансионат,3
автопарк,2
автопассажир,2
автопассажирский,3
автопатруль,2
автоперевозка,4
автопередвижка,4
автопередвижной,4
автопилот,2
автопластика,3
автоплуг,2
автопогрузчик,4
автоподзавод,4
автоподстройка,3
автоподъемник,3
автопоезд,2
автопоилка,5
автопокрышка,5
автопортрет,2
автопреобразователь,4
автопробег,3
автопрокат,3
автопрокладчик,4
автопромышленность,4
автор,1
авторадиограмма,3
авторадиография,6
авторазгрузчик,4
авторазливочный,6
авторалли,1
авторегулятор,3
авторезина,2
авторемонтный,3
авторессора,2
автореферат,2
авторефрижератор,2
авторизация,3
авторизировать,4
авторизованный,4
авторизовать,3
авторизоваться,4
авторитарный,1
авторитет,1
авторитетный,2
автороллер,2
авторота,2
авторотация,3
авторский,2
авторско-правовой,5
авторство,2
авторулевой,3
авторучка,2
автосалон,2
автосамосвал,5
автосборка,4
автосборочный,5
автосервис,2
автослесарь,2
автоспорт,2
автостанция,2
автостарт,2
автостартер,3
автостоп,2
автостоянка,3
автострада,2
автостроение,3
автостроитель,4
автосцеп,3
автосцепка,4
автотермоцистерна,4
автотехобслуживание,6
автотипический,3
автотипия,3
автотипный,3
автотомия,3
автотормоз,2
автотормозной,3
автотракторный,3
автотракторостроение,5
автотранспорт,2
автотранспортный,3
автотрансформатор,3
автотрасса,2
автотренажер,4
автотропизм,3
автотуризм,3
автотурист,3
автотягач,3
автоукладчик,4
автофазировка,5
автофилия,3
автофургон,2
автохарактеристика,4
автохозяйство,3
автохромный,3
автохронометраж,5
автохтон,1
автохтонный,2
автоцементовоз,4
автоцистерна,2
авточас,2
авточасть,2
автошарж,2
автошкола,2
автоштурман,2
автощеповоз,4
автощетка,2
автоэлектронный,4
авуары,1
ага-хан,2
ага,0
агава,1
агама,1
агами,0
агамия,3
агамный,3
агамогония,5
агар-агар,2
агарный,2
агаровый,2
агарянин,3
агарянка,3
агат,1
агатовый,2
агглютинабельный,3
агглютинативный,4
агглютинация,3
агглютинин,3
агглютинирование,5
агглютинировать,5
агглютинироваться,5
агглютинирующий,5
аггравация,2
агент,1
агентирование,4
агентский,2
агентство,2
агентура,2
агентурный,3
агиографический,3
агиография,3
агиология,3
агитатор,2
агитаторский,3
агитационно-массовый,6
агитационный,3
агитация,2
агитбригада,2
агитвагон,2
агитировать,3
агитка,2
агиткампания,2
агитколлектив,2
агитмассовый,3
агитплакат,2
агитпоезд,2
агитпоход,3
агитпробег,3
агитпроп,2
агитпропотдел,4
агитпункт,2
агитфильм,2
агломерат,2
агломератчик,3
агломерационный,3
агломерация,2
агломерировать,3
агломерироваться,4
аглопорит,3
аглофабрика,2
агнец,1
агнозия,1
агностик,1
агностицизм,2
агностический,2
агонизировать,4
агонический,2
агония,1
аграмант,1
аграмантный,2
аграмантовый,2
аграрий,2
аграрник,2
аграрно-индустриальный,5
аграрно-промышленный,5
аграрный,2
агрегат,1
агрегатирование,4
агрегатированный,4
агрегатировать,3
агрегатироваться,4
агрегатно-сборочный,7
агрегатный,2
агрегация,2
агрегировать,3
агреман,1
агрессивно-коррозионный,6
агрессивность,3
агрессивный,2
агрессия,1
агрессор,2
агробаза,2
агробиолог,3
агробиологический,4
агробиология,4
агробиоценоз,4
агроботаника,3
агроботанический,4
агрогородок,3
агрозоотехника,4
агрозоотехнический,5
агроклиматология,5
агрокружок,2
агрокультура,2
агролесомелиоративный,6
агролесомелиоратор,5
агролесомелиорация,5
агромаксимум,3
агромелиоратор,3
агромелиорация,4
агрометеоролог,4
агрометеорологический,5
агрометеорология,5
агрометр,2
агроминимум,3
агроном,2
агрономический,3
агрономия,3
агропочвенный,3
агропочвоведение,5
агропроизводство,3
агропром,2
агропромышленный,3
агропропаганда,2
агропункт,2
агрорайон,2
агросеть,2
агротехник,3
агротехника,3
агротехнический,4
агроучасток,2
агрофизик,2
агрофизика,3
агрофизический,4
агрофитоценоз,5
агрохимик,3
агрохимический,3
агрохимия,3
агрохимлаборатория,4
агроцех,2
агрошкола,2
агроэкологический,4
агроэкономический,4
агроэкосистема,3
агу,0
агул,1
агулец,2
агулка,2
агульский,2
ад,1
адажио,0
адалин,1
адамант,1
адамит,1
адамсия,1
адаптант,2
адаптационный,3
адаптация,2
адаптер,2
адаптивный,2
адаптированный,4
адаптировать,3
адаптироваться,4
адаптометр,3
адат,1
адвентист,2
адвербиализация,4
адвербиализироваться,6
адвербиальный,2
адвокат,1
адвокатский,2
адвокатство,2
адвокатствовать,3
адвокатура,2
адденда,1
адекватный,1
аденит,2
аденовирус,3
аденовирусный,4
аденоид,2
аденокарцинома,4
аденома,2
адепт,1
адеструктивный,4
аджарец,2
аджарка,2
аджарский,2
аджика,1
адиабата,1
адиабатический,2
адиабатный,2
адидас,0
адидасовский,3
адинамия,3
административно-волевой,6
административно-дисциплинарный,6
административно-командный,7
административно-приказной,6
административно-территориальный,7
административно-управленческий,8
административно-хозяйственный,7
административный,3
администратор,2
администраторский,3
администраторство,3
администрация,2
администрирование,4
администрировать,3
адмирал,1
адмирал-инженер,2
адмиралтейский,2
адмиралтейств-коллегия,3
адмиралтейств-совет,3
адмиралтейство,2
адмиральский,2
адмиральство,2
адмотдел,3
адмтехперсонал,4
адмчасть,2
адов,2
адонис,1
адоптация,2
адоптивный,2
адоптированный,4
адоптировать,3
адоптироваться,4
адорация,2
адреналин,2
адреналиновый,3
адрес,1
адрес-календарь,2
адресант,2
адресат,1
адресация,2
адресно-справочный,6
адресный,2
адресование,3
адресованный,3
адресовать,2
адресоваться,3
адский,2
адсорбент,3
адсорбер,3
адсорбированный,5
адсорбировать,4
адсорбироваться,5
адсорбционно-комплексный,6
адсорбционный,4
адсорбция,3
адуляр,1
адъективация,2
адъективирование,4
адъективированный,4
адъективироваться,4
адъективный,2
адъюнкт,1
адъюнкт-профессор,2
адъюнкта,1
адъюнктский,2
адъюнктство,2
адъюнктура,2
адъютант,1
адъютантский,2
адъютантство,2
адыге,0
адыгейка,2
адыгейский,2
адыгец,1
адыгский,2
аж,0
ажгон,1
ажио,0
ажиотаж,2
ажиотировать,3
ажур,1
ажурный,2
ажюстировать,3
аз,1
азалия,1
азарин,1
азарт,1
азартничать,3
азартный,2
азат,1
азбука,1
азбуковник,3
азбучный,2
азербайджанец,2
азербайджанка,2
азербайджанский,2
азефовщина,3
азиат,2
азиатический,3
азиатка,3
азиатский,3
азиатско-тихоокеанский,8
азиатчина,3
азимут,1
азимутальный,2
азимутный,2
азобензол,3
азовский,2
азогруппа,2
азокраситель,4
азональный,3
азосоединение,4
азосочетание,4
азот,1
азотдобывающий,4
азотизация,3
азотирование,4
азотировать,3
азотироваться,4
азотисто-водородный,5
азотистокислый,5
азотистый,2
азотно-калийно-фосфорный,9
азотно-калийный,6
азотно-фосфорный,5
азотноватистый,4
азотноватый,3
азотнокислый,5
азотный,2
азотобактер,3
азотобактерин,3
азотобактерия,4
азотоген,3
азотометр,3
азототдающий,4
азотсодержащий,3
азотусваивающий,5
азотфиксатор,3
азотфиксация,3
азотфиксирующий,5
азу,0
азям,1
азямник,2
аи,0
аил,1
аир,1
аист,1
аистенок,2
аистник,2
аистовый,2
аистообразные,4
ай-ай-ай,2
айва,1
айвовый,2
айда,0
айканье,3
айкать,2
айкнуть,3
айлант,1
аймак,1
аймаковый,2
аймачный,2
айран,1
айрол,1
